100.41,103.31,100.0
101.69,102.74,100.0
102.85,104.56,100.0
102.95,105.39,100.0
102.1,102.57,100.0
101.59,98.7,100.0
99.86,99.33,100.0
99.73,101.96,100.0
99.85,101.37,100.0
100.9,98.77,100.0
101.01,97.83,100.0
99.11,101.96,100.0
99.58,99.45,100.0
99.64,97.31,100.0
99.47,94.0,100.0
99.09,95.97,100.0
99.32,94.42,100.0
98.83,92.61,100.0
97.2,93.58,100.0
96.12,94.99,100.0
95.7,97.85,100.0
96.11,98.02,100.0
95.75,98.34,100.0
95.14,98.08,100.0
94.65,98.55,100.0
95.86,98.88,100.0
95.89,97.93,100.0
96.59,94.99,100.0
95.89,93.39,100.0
94.75,94.48,100.0
94.81,93.56,100.0
94.85,93.61,100.0
95.05,94.9,100.0
94.96,95.36,100.0
94.61,94.6,100.0
95.21,92.74,100.0
93.71,93.5,100.0
94.35,94.74,100.0
94.73,96.99,100.0
95.03,94.58,100.0
95.23,93.28,100.0
95.5,93.19,100.0
95.55,92.46,100.0
94.18,89.43,100.0
92.62,89.74,100.0
92.77,91.32,100.0
93.05,91.81,100.0
93.77,94.47,100.0
94.18,94.38,100.0
93.61,93.85,100.0
94.32,94.26,100.0
93.67,91.79,100.0
94.12,91.2,100.0
93.99,88.52,100.0
92.43,87.46,100.0
91.52,91.81,100.0
91.7,92.06,100.0
91.19,92.12,100.0
91.77,93.19,100.0
91.37,93.19,100.0
91.69,94.81,100.0
93.14,94.44,100.0
94.35,93.74,100.0
93.57,96.44,100.0
93.96,94.06,100.0
94.49,94.51,100.0
94.13,92.25,100.0
93.55,91.09,100.0
93.38,90.4,100.0
92.56,89.29,100.0
92.41,89.91,100.0
91.36,89.94,100.0
91.63,90.53,100.0
90.68,90.04,100.0
90.11,88.09,100.0
89.81,89.84,100.0
89.58,88.63,100.0
89.9,90.95,100.0
89.39,90.15,100.0
89.65,89.66,100.0
90.93,89.06,100.0
91.22,89.22,100.0
90.35,87.1,100.0
90.76,89.43,100.0
91.24,89.31,100.0
90.76,91.78,100.0
91.17,93.33,100.0
90.73,92.6,100.0
91.45,92.01,100.0
91.53,93.09,100.0
91.83,93.06,100.0
92.03,92.9,100.0
92.37,90.97,100.0
92.61,93.15,100.0
92.91,93.44,100.0
93.94,95.65,100.0
95.28,97.04,100.0
95.39,97.69,100.0
96.85,97.9,100.0
96.2,95.44,100.0
95.49,95.44,100.0
93.72,92.93,100.0
93.56,96.07,100.0
94.45,92.99,100.0
93.06,94.55,100.0
93.27,93.21,100.0
93.92,93.81,100.0
93.81,94.89,100.0
95.03,92.43,100.0
93.59,93.56,100.0
93.75,93.78,100.0
94.36,93.46,100.0
94.33,96.27,100.0
94.54,93.22,100.0
93.6,94.34,100.0
93.13,94.29,100.0
94.23,93.86,100.0
94.37,91.13,100.0
92.84,92.5,100.0
